,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height,Kernel_size,stride,padding,type,,,,,,,,,,,,
0,features.0,  3 224 224, 64  55  55,23296,0.74,"140,553,600.00",70470400,695296,774400,11.84%,1469696,0.57,224,11,4,0,3,0.57,,,,,,,,,,,
1,features.1, 64  55  55, 64  55  55,0,0.74,"193,600.00",193600,774400,774400,0.00%,1548800,0.74,55,0,0,0,1,0.74,,,,,,,,,,,
2,features.2, 64  55  55, 64  27  27,0,0.18,"373,248.00",193600,774400,186624,0.00%,961024,0.74,55,3,2,0,2,0.74,,,,,,,,,,,
3,features.3, 64  27  27,192  27  27,307392,0.53,"447,897,600.00",224088768,1416192,559872,8.79%,1976064,0.18,27,5,1,2,3,0.18,,,,,,,,,,,
4,features.4,192  27  27,192  27  27,0,0.53,"139,968.00",139968,559872,559872,0.00%,1119744,0.53,27,0,0,0,1,0.53,,,,,,,,,,,
5,features.5,192  27  27,192  13  13,0,0.12,"259,584.00",139968,559872,129792,0.00%,689664,0.53,27,3,2,0,2,0.53,,,,,,,,,,,
6,features.6,192  13  13,384  13  13,663936,0.25,"224,280,576.00",112205184,2785536,259584,3.99%,3045120,0.12,13,3,1,1,3,0.12,,,,,,,,,,,
7,features.7,384  13  13,384  13  13,0,0.25,"64,896.00",64896,259584,259584,0.00%,519168,0.25,13,0,0,0,1,0.25,,,,,,,,,,,
8,features.8,384  13  13,256  13  13,884992,0.17,"299,040,768.00",149563648,3799552,173056,3.99%,3972608,0.25,13,3,1,1,3,0.25,,,,,,,,,,,
9,features.9,256  13  13,256  13  13,0,0.17,"43,264.00",43264,173056,173056,0.00%,346112,0.17,13,0,0,0,1,0.17,,,,,,,,,,,
10,features.10,256  13  13,256  13  13,590080,0.17,"199,360,512.00",99723520,2533376,173056,4.72%,2706432,0.17,13,3,1,1,3,0.17,,,,,,,,,,,
11,features.11,256  13  13,256  13  13,0,0.17,"43,264.00",43264,173056,173056,0.00%,346112,0.17,13,0,0,0,1,0.17,,,,,,,,,,,
12,features.12,256  13  13,256   6   6,0,0.04,"73,728.00",43264,173056,36864,0.00%,209920,0.17,13,3,2,0,2,0.17,,,,,,,,,,,
13,avgpool,256   6   6,256   6   6,0,0.04,0,0,0,0,0.00%,0,0.04,0,0,0,0,0,0.04,,,,,,,,,,,
14,classifier.0,9216,9216,0,0.04,0,0,0,0,3.98%,0,0.04,0,0,0,0,0,0.04,,,,,,,,,,,
15,classifier.1,9216,4096,37752832,0.02,"75,493,376.00",37748736,151048192,16384,38.29%,151064576,0.04,0,0,0,0,0,0.04,,,,,,,,,,,
16,classifier.2,4096,4096,0,0.02,"4,096.00",4096,16384,16384,0.00%,32768,0.02,0,0,0,0,0,0.02,,,,,,,,,,,
17,classifier.3,4096,4096,0,0.02,0,0,0,0,0.00%,0,0.02,0,0,0,0,0,0.02,,,,,,,,,,,
18,classifier.4,4096,4096,16781312,0.02,"33,550,336.00",16777216,67141632,16384,18.29%,67158016,0.02,0,0,0,0,0,0.02,,,,,,,,,,,
19,classifier.5,4096,4096,0,0.02,"4,096.00",4096,16384,16384,0.00%,32768,0.02,0,0,0,0,0,0.02,,,,,,,,,,,
20,classifier.6,4096,1000,4097000,0,"8,191,000.00",4096000,16404384,4000,6.11%,16408384,0.02,0,0,0,0,0,0.02, , , ,61100840,4.19,"1,429,567,512.00","715,543,488.00",16404384,4000,100.00%,253606976
