,module name,input shape,output shape,Flops,DataSize,height,Kernel_size,stride,padding,type
1,conv1,3 448 448,64 224 224,944120000,2.3,224,7,2,3,3
2,relu1,64 224 224,64 224 224,3210000,12.25,224,0,0,0,1
3,pool1,64 224 224,64 112 112,3210000,12.25,112,2,2,0,2
4,conv2,64 112 112,192 112 112,2780000000,12.25,112,3,1,1,3
5,relu2,192 112 112,192 112 112,2410000,9.19,112,0,0,0,1
6,pool2,192 112 112,192 56 56,2410000,9.19,56,2,2,0,2
7,conv3,192 56 56,128 56 56,154140000,2.3,56,1,1,0,3
8,relu3,128 56 56,128 56 56,401410,1.53,56,0,0,0,1
9,conv4,128 56 56,256 56 56,1849680000,1.53,56,3,1,1,3
10,relu4,256 56 56,256 56 56,802820,3.06,56,0,0,0,1
11,conv5,256 56 56,256 56 56,411040000,3.06,56,1,1,0,3
12,relu5,256 56 56,256 56 56,802820,3.06,56,0,0,0,1
13,conv6,256 56 56,512 56 56,7400000000,3.06,56,3,1,1,3
14,relu6,512 56 56,512 56 56,1610000,6.13,56,0,0,0,1
15,pool6,512 56 56,512 28 28,1610000,6.13,28,2,2,0,2
16,conv7,512 28 28,256 28 28,102760000,1.53,28,1,1,0,3
17,relu7,256 28 28,256 28 28,200700,0.77,28,0,0,0,1
18,conv8,256 28 28,512 28 28,1849680000,0.77,28,3,1,1,3
19,relu8,512 28 28,512 28 28,401410,1.53,28,0,0,0,1
20,conv9,512 28 28,256 28 28,205520000,1.53,28,1,1,0,3
21,relu9,256 28 28,256 28 28,200700,0.77,28,0,0,0,1
22,conv10,256 28 28,512 28 28,1849680000,0.77,28,3,1,1,3
23,relu10,512 28 28,512 28 28,401410,1.53,28,0,0,0,1
24,conv11,512 28 28,256 28 28,205520000,1.53,28,1,1,0,3
25,relu11,256 28 28,256 28 28,200700,0.77,28,0,0,0,1
26,conv12,256 28 28,512 28 28,1849680000,0.77,28,3,1,1,3
27,relu12,512 28 28,512 28 28,401410,1.53,28,0,0,0,1
28,conv13,512 28 28,256 28 28,205520000,1.53,28,1,1,0,3
29,relu13,256 28 28,256 28 28,200700,0.77,28,0,0,0,1
30,conv14,256 28 28,512 28 28,1849680000,0.77,28,3,1,1,3
31,relu14,512 28 28,512 28 28,401410,1.53,28,0,0,0,1
32,conv15,512 28 28,512 28 28,411040000,1.53,28,1,1,0,3
33,relu15,512 28 28,512 28 28,401410,1.53,28,0,0,0,1
34,conv16,512 28 28,1024 28 28,7400000000,1.53,28,3,1,1,3
35,relu16,1024 28 28,1024 28 28,802820,3.06,28,0,0,0,1
36,pool16,1024 28 28,1024 14 14,802820,3.06,14,2,2,0,2
37,conv17,1024 14 14,512 14 14,205520000,0.77,14,1,1,0,3
38,relu17,512 14 14,512 14 14,100350,0.38,14,0,0,0,1
39,conv18,512 14 14,1024 14 14,1849680000,0.38,14,3,1,1,3
40,relu18,1024 14 14,1024 14 14,200700,0.77,14,0,0,0,1
41,conv19,1024 14 14,512 14 14,205520000,0.77,14,1,1,0,3
42,relu19,512 14 14,512 14 14,100350,0.38,14,0,0,0,1
43,conv20,512 14 14,1024 14 14,1849680000,0.38,14,3,1,1,3
44,relu20,1024 14 14,1024 14 14,200700,0.77,14,0,0,0,1
45,conv21,1024 14 14,1024 14 14,3700000000,0.77,14,3,1,1,3
46,relu21,1024 14 14,1024 14 14,200700,0.77,14,0,0,0,1
47,conv22,1024 14 14,1024 7 7,924840000,0.77,7,3,2,1,3
48,relu22,1024 7 7,1024 7 7,50180,0.19,7,0,0,0,1
49,conv23,1024 7 7,1024 7 7,924840000,0.19,7,3,1,1,3
50,relu23,1024 7 7,1024 7 7,50180,0.19,7,0,0,0,1
51,conv24,1024 7 7,1024 7 7,924840000,0.19,7,3,1,1,3
52,relu24,1024 7 7,1024 7 7,411040000,0.19,7,0,0,0,1
53,fc25,1024 7 7,4096 1 1,4100,0.19,1,0,0,0,0
54,relu25,4096 1 1,1470 1 1,12040,0.02,1,0,0,0,0
55,result,1470 1 1,1470 1 1,0,0,0,0,0,0,0
