,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height,Kernel_size,stride,padding,type
0,features.0,  3 224 224, 96 109 109,14208,4.35,"335,329,344.00","168,805,248.00",658944,4562304,52.66%,5221248,0.54,109,7,,,3
1,features.1, 96 109 109, 96 109 109,0,4.35,"1,140,576.00","1,140,576.00",4562304,4562304,8.99%,9124608,4.35,109,,,,1
2,features.2, 96 109 109, 96  54  54,0,1.07,"2,239,488.00","1,140,576.00",4562304,1119744,4.49%,5682048,4.35,54,,,,2
3,features.3.squeeze, 96  54  54, 16  54  54,1552,0.18,"8,957,952.00","4,525,632.00",1125952,186624,0.00%,1312576,1.09,54,,,,3
4,features.3.squeeze_activation, 16  54  54, 16  54  54,0,0.18,"46,656.00","46,656.00",186624,186624,0.00%,373248,0.18,54,,,,1
5,features.3.expand1x1, 16  54  54, 64  54  54,1088,0.71,"5,971,968.00","3,172,608.00",190976,746496,0.00%,937472,0.18,54,,,,3
6,features.3.expand1x1_activation, 64  54  54, 64  54  54,0,0.71,"186,624.00","186,624.00",746496,746496,0.00%,1492992,0.73,54,,,,1
7,features.3.expand3x3, 16  54  54, 64  54  54,9280,0.71,"53,747,712.00","27,060,480.00",223744,746496,0.00%,970240,0.73,54,,,,3
8,features.3.expand3x3_activation, 64  54  54, 64  54  54,0,0.71,"186,624.00","186,624.00",746496,746496,0.00%,1492992,0.73,54,,,,1
9,features.4.squeeze,128  54  54, 16  54  54,2064,0.18,"11,943,936.00","6,018,624.00",1501248,186624,0.00%,1687872,0.73,54,,,,3
10,features.4.squeeze_activation, 16  54  54, 16  54  54,0,0.18,"46,656.00","46,656.00",186624,186624,0.00%,373248,0.18,54,,,,1
11,features.4.expand1x1, 16  54  54, 64  54  54,1088,0.71,"5,971,968.00","3,172,608.00",190976,746496,0.00%,937472,0.18,54,,,,3
12,features.4.expand1x1_activation, 64  54  54, 64  54  54,0,0.71,"186,624.00","186,624.00",746496,746496,0.00%,1492992,0.73,54,,,,1
13,features.4.expand3x3, 16  54  54, 64  54  54,9280,0.71,"53,747,712.00","27,060,480.00",223744,746496,0.00%,970240,0.73,54,,,,3
14,features.4.expand3x3_activation, 64  54  54, 64  54  54,0,0.71,"186,624.00","186,624.00",746496,746496,0.00%,1492992,0.73,54,,,,1
15,features.5.squeeze,128  54  54, 32  54  54,4128,0.36,"23,887,872.00","12,037,248.00",1509504,373248,1.72%,1882752,0.73,54,,,,3
16,features.5.squeeze_activation, 32  54  54, 32  54  54,0,0.36,"93,312.00","93,312.00",373248,373248,0.00%,746496,0.36,54,,,,1
17,features.5.expand1x1, 32  54  54,128  54  54,4224,1.42,"23,887,872.00","12,317,184.00",390144,1492992,0.00%,1883136,0.36,54,,,,3
18,features.5.expand1x1_activation,128  54  54,128  54  54,0,1.42,"373,248.00","373,248.00",1492992,1492992,0.00%,2985984,1.45,54,,,,1
19,features.5.expand3x3, 32  54  54,128  54  54,36992,1.42,"214,990,848.00","107,868,672.00",521216,1492992,2.82%,2014208,1.45,54,,,,3
20,features.5.expand3x3_activation,128  54  54,128  54  54,0,1.42,"373,248.00","373,248.00",1492992,1492992,0.00%,2985984,1.45,54,,,,1
21,features.6,256  54  54,256  27  27,0,0.71,"1,492,992.00","746,496.00",2985984,746496,5.89%,3732480,1.45,27,,,,2
22,features.7.squeeze,256  27  27, 32  27  27,8224,0.09,"11,943,936.00","5,995,296.00",779392,93312,0.00%,872704,0.73,27,,,,3
23,features.7.squeeze_activation, 32  27  27, 32  27  27,0,0.09,"23,328.00","23,328.00",93312,93312,0.00%,186624,0.09,27,,,,1
24,features.7.expand1x1, 32  27  27,128  27  27,4224,0.36,"5,971,968.00","3,079,296.00",110208,373248,0.00%,483456,0.09,27,,,,3
25,features.7.expand1x1_activation,128  27  27,128  27  27,0,0.36,"93,312.00","93,312.00",373248,373248,0.00%,746496,0.36,27,,,,1
26,features.7.expand3x3, 32  27  27,128  27  27,36992,0.36,"53,747,712.00","26,967,168.00",241280,373248,0.00%,614528,0.36,27,,,,3
27,features.7.expand3x3_activation,128  27  27,128  27  27,0,0.36,"93,312.00","93,312.00",373248,373248,0.00%,746496,0.36,27,,,,1
28,features.8.squeeze,256  27  27, 48  27  27,12336,0.13,"17,915,904.00","8,992,944.00",795840,139968,0.00%,935808,0.36,27,,,,3
29,features.8.squeeze_activation, 48  27  27, 48  27  27,0,0.13,"34,992.00","34,992.00",139968,139968,0.00%,279936,0.12,27,,,,1
30,features.8.expand1x1, 48  27  27,192  27  27,9408,0.53,"13,436,928.00","6,858,432.00",177600,559872,0.00%,737472,0.12,27,,,,3
31,features.8.expand1x1_activation,192  27  27,192  27  27,0,0.53,"139,968.00","139,968.00",559872,559872,0.00%,1119744,0.48,27,,,,1
32,features.8.expand3x3, 48  27  27,192  27  27,83136,0.53,"120,932,352.00","60,606,144.00",472512,559872,4.50%,1032384,0.48,27,,,,3
33,features.8.expand3x3_activation,192  27  27,192  27  27,0,0.53,"139,968.00","139,968.00",559872,559872,0.00%,1119744,0.48,27,,,,1
34,features.9.squeeze,384  27  27, 48  27  27,18480,0.13,"26,873,856.00","13,471,920.00",1193664,139968,0.56%,1333632,0.48,27,,,,3
35,features.9.squeeze_activation, 48  27  27, 48  27  27,0,0.13,"34,992.00","34,992.00",139968,139968,0.00%,279936,0.12,27,,,,1
36,features.9.expand1x1, 48  27  27,192  27  27,9408,0.53,"13,436,928.00","6,858,432.00",177600,559872,0.00%,737472,0.12,27,,,,3
37,features.9.expand1x1_activation,192  27  27,192  27  27,0,0.53,"139,968.00","139,968.00",559872,559872,0.00%,1119744,0.48,27,,,,1
38,features.9.expand3x3, 48  27  27,192  27  27,83136,0.53,"120,932,352.00","60,606,144.00",472512,559872,0.00%,1032384,0.48,27,,,,3
39,features.9.expand3x3_activation,192  27  27,192  27  27,0,0.53,"139,968.00","139,968.00",559872,559872,0.00%,1119744,0.48,27,,,,1
40,features.10.squeeze,384  27  27, 64  27  27,24640,0.18,"35,831,808.00","17,962,560.00",1218304,186624,2.85%,1404928,0.48,27,,,,3
41,features.10.squeeze_activation, 64  27  27, 64  27  27,0,0.18,"46,656.00","46,656.00",186624,186624,0.00%,373248,0.16,27,,,,1
42,features.10.expand1x1, 64  27  27,256  27  27,16640,0.71,"23,887,872.00","12,130,560.00",253184,746496,0.58%,999680,0.16,27,,,,3
43,features.10.expand1x1_activation,256  27  27,256  27  27,0,0.71,"186,624.00","186,624.00",746496,746496,0.00%,1492992,0.64,27,,,,1
44,features.10.expand3x3, 64  27  27,256  27  27,147712,0.71,"214,990,848.00","107,682,048.00",777472,746496,2.81%,1523968,0.64,27,,,,3
45,features.10.expand3x3_activation,256  27  27,256  27  27,0,0.71,"186,624.00","186,624.00",746496,746496,0.00%,1492992,0.64,27,,,,1
46,features.11,512  27  27,512  13  13,0,0.33,"692,224.00","373,248.00",1492992,346112,2.57%,1839104,0.64,13,,,,2
47,features.12.squeeze,512  13  13, 64  13  13,32832,0.04,"11,075,584.00","5,548,608.00",477440,43264,0.57%,520704,0.32,13,,,,3
48,features.12.squeeze_activation, 64  13  13, 64  13  13,0,0.04,"10,816.00","10,816.00",43264,43264,0.00%,86528,0.04,13,,,,1
