,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height,type,,,,,,,,,,
0,features.0,  3 224 224, 64 224 224,1792,12.25,"173,408,256.00",89915392,609280,12845056,3.26%,13454336,0.57,224,3,,,,,,,,,,
1,features.1, 64 224 224, 64 224 224,0,12.25,"3,211,264.00",3211264,12845056,12845056,0.86%,25690112,12.25,224,1,,,,,,,,,,
2,features.2, 64 224 224, 64 224 224,36928,12.25,"3,699,376,128.00",1852899328,12992768,12845056,8.62%,25837824,12.25,224,3,,,,,,,,,,
3,features.3, 64 224 224, 64 224 224,0,12.25,"3,211,264.00",3211264,12845056,12845056,0.42%,25690112,12.25,224,1,,,,,,,,,,
4,features.4, 64 224 224, 64 112 112,0,3.06,"2,408,448.00",3211264,12845056,3211264,2.07%,16056320,12.25,224,2,,,,,,,,,,
5,features.5, 64 112 112,128 112 112,73856,6.12,"1,849,688,064.00",926449664,3506688,6422528,3.56%,9929216,3.06,112,3,,,,,,,,,,
6,features.6,128 112 112,128 112 112,0,6.12,"1,605,632.00",1605632,6422528,6422528,0.42%,12845056,6.13,112,1,,,,,,,,,,
7,features.7,128 112 112,128 112 112,147584,6.12,"3,699,376,128.00",1851293696,7012864,6422528,6.91%,13435392,6.13,112,3,,,,,,,,,,
8,features.8,128 112 112,128 112 112,0,6.12,"1,605,632.00",1605632,6422528,6422528,0.24%,12845056,6.13,112,1,,,,,,,,,,
9,features.9,128 112 112,128  56  56,0,1.53,"1,204,224.00",1605632,6422528,1605632,0.83%,8028160,6.13,112,2,,,,,,,,,,
10,features.10,128  56  56,256  56  56,295168,3.06,"1,849,688,064.00",925646848,2786304,3211264,4.18%,5997568,1.53,56,3,,,,,,,,,,
11,features.11,256  56  56,256  56  56,0,3.06,"802,816.00",802816,3211264,3211264,0.42%,6422528,3.06,56,1,,,,,,,,,,
12,features.12,256  56  56,256  56  56,590080,3.06,"3,699,376,128.00",1850490880,5571584,3211264,5.83%,8782848,3.06,56,3,,,,,,,,,,
13,features.13,256  56  56,256  56  56,0,3.06,"802,816.00",802816,3211264,3211264,0.00%,6422528,3.06,56,1,,,,,,,,,,
14,features.14,256  56  56,256  56  56,590080,3.06,"3,699,376,128.00",1850490880,5571584,3211264,5.86%,8782848,3.06,56,3,,,,,,,,,,
15,features.15,256  56  56,256  56  56,0,3.06,"802,816.00",802816,3211264,3211264,0.00%,6422528,3.06,56,1,,,,,,,,,,
16,features.16,256  56  56,256  56  56,590080,3.06,"3,699,376,128.00",1850490880,5571584,3211264,6.28%,8782848,3.06,56,3,,,,,,,,,,
17,features.17,256  56  56,256  56  56,0,3.06,"802,816.00",802816,3211264,3211264,0.38%,6422528,3.06,56,1,,,,,,,,,,
18,features.18,256  56  56,256  28  28,0,0.77,"602,112.00",802816,3211264,802816,0.44%,4014080,3.06,56,2,,,,,,,,,,
19,features.19,256  28  28,512  28  28,1180160,1.53,"1,849,688,064.00",925245440,5523456,1605632,2.95%,7129088,0.77,28,3,,,,,,,,,,
20,features.20,512  28  28,512  28  28,0,1.53,"401,408.00",401408,1605632,1605632,0.00%,3211264,1.53,28,1,,,,,,,,,,
21,features.21,512  28  28,512  28  28,2359808,1.53,"3,699,376,128.00",1850089472,11044864,1605632,6.75%,12650496,1.53,28,3,,,,,,,,,,
22,features.22,512  28  28,512  28  28,0,1.53,"401,408.00",401408,1605632,1605632,0.00%,3211264,1.53,28,1,,,,,,,,,,
23,features.23,512  28  28,512  28  28,2359808,1.53,"3,699,376,128.00",1850089472,11044864,1605632,6.32%,12650496,1.53,28,3,,,,,,,,,,
24,features.24,512  28  28,512  28  28,0,1.53,"401,408.00",401408,1605632,1605632,0.00%,3211264,1.53,28,1,,,,,,,,,,
25,features.25,512  28  28,512  28  28,2359808,1.53,"3,699,376,128.00",1850089472,11044864,1605632,5.95%,12650496,1.53,28,3,,,,,,,,,,
26,features.26,512  28  28,512  28  28,0,1.53,"401,408.00",401408,1605632,1605632,0.00%,3211264,1.53,28,1,,,,,,,,,,
27,features.27,512  28  28,512  14  14,0,0.38,"301,056.00",401408,1605632,401408,0.42%,2007040,1.53,28,2,,,,,,,,,,
28,features.28,512  14  14,512  14  14,2359808,0.38,"924,844,032.00",462522368,9840640,401408,2.51%,10242048,0.38,14,3,,,,,,,,,,
29,features.29,512  14  14,512  14  14,0,0.38,"100,352.00",100352,401408,401408,0.42%,802816,0.38,14,1,,,,,,,,,,
30,features.30,512  14  14,512  14  14,2359808,0.38,"924,844,032.00",462522368,9840640,401408,2.58%,10242048,0.38,14,3,,,,,,,,,,
31,features.31,512  14  14,512  14  14,0,0.38,"100,352.00",100352,401408,401408,0.00%,802816,0.38,14,1,,,,,,,,,,
