model,deviceNum,bandwidthMin,bandwidthMax,perfMin,perfMax,algorithm,throughput,inferenceTime
AlexNet,5,21,31,41,60,HiveMind,38.59649122807018,0.04625060953507687
AlexNet,5,21,31,41,60,EdgePipe,50.877192982456144,0.05799483802680123
Vgg19,5,21,31,41,60,HiveMind,2.0868310114101876,0.5085031176326379
Vgg19,5,21,31,41,60,EdgePipe,9.80392156862745,0.7199882316930863
YOLONet,5,21,31,41,60,HiveMind,2.236501473189671,1.0022442964678653
YOLONet,5,21,31,41,60,EdgePipe,5.842291343323378,1.0928542283642186
SqueezeNet,5,21,31,41,60,HiveMind,40.74074074074074,0.058617656412121216
SqueezeNet,5,21,31,41,60,EdgePipe,53.703703703703695,0.0732986021976291
AlexNet,3,21,31,41,60,HiveMind,38.59649122807018,0.0449217036583449
AlexNet,3,21,31,41,60,EdgePipe,54.385964912280706,0.04498317264361193
AlexNet,4,21,31,41,60,HiveMind,45.6140350877193,0.04158983552647677
AlexNet,4,21,31,41,60,EdgePipe,47.36842105263158,0.05244125291459543
AlexNet,5,21,31,41,60,HiveMind,38.59649122807018,0.04625060953507687
AlexNet,5,21,31,41,60,EdgePipe,50.877192982456144,0.05799483802680123
AlexNet,6,21,31,41,60,HiveMind,36.8421052631579,0.04852901261347995
AlexNet,6,21,31,41,60,EdgePipe,43.85964912280702,0.06923455388315877
AlexNet,5,10,20,41,60,HiveMind,19.29824561403509,0.07443352310824485
AlexNet,5,10,20,41,60,EdgePipe,31.57894736842106,0.08719417689120361
AlexNet,5,21,31,41,60,HiveMind,38.59649122807018,0.04625060953507687
AlexNet,5,21,31,41,60,EdgePipe,50.877192982456144,0.05799483802680123
AlexNet,5,40,60,41,60,HiveMind,59.02150294428047,0.03309125126137709
AlexNet,5,40,60,41,60,EdgePipe,92.98245614035089,0.0379872471521356
AlexNet,5,21,31,20,40,HiveMind,28.790977045990477,0.06421474770743459
AlexNet,5,21,31,20,40,EdgePipe,50.877192982456144,0.06518186628045977
AlexNet,5,21,31,41,60,HiveMind,38.59649122807018,0.04625060953507687
AlexNet,5,21,31,41,60,EdgePipe,50.877192982456144,0.05799483802680123
AlexNet,5,21,31,60,100,HiveMind,38.59649122807018,0.04074612392076792
AlexNet,5,21,31,60,100,EdgePipe,50.877192982456144,0.05314965796045977
Vgg19,3,21,31,41,60,HiveMind,3.386532939454239,0.49683091828223724
Vgg19,3,21,31,41,60,EdgePipe,7.24297727706882,0.5891173145561092
Vgg19,4,21,31,41,60,HiveMind,2.0868310114101876,0.5038423436240378
Vgg19,4,21,31,41,60,EdgePipe,8.658906880402213,0.6265126043656424
Vgg19,5,21,31,41,60,HiveMind,2.0868310114101876,0.5085031176326379
Vgg19,5,21,31,41,60,EdgePipe,9.80392156862745,0.7199882316930863
Vgg19,6,21,31,41,60,HiveMind,2.0868310114101876,0.5107815207110409
Vgg19,6,21,31,41,60,EdgePipe,9.477124183006536,0.7651166076650906
AlexNet,5,10,20,20,40,HiveMind,19.29824561403509,0.09239766128060256
AlexNet,5,10,20,20,40,EdgePipe,31.57894736842106,0.09438120514486215
AlexNet,5,10,20,60,100,HiveMind,19.29824561403509,0.0689290374939359
AlexNet,5,10,20,60,100,EdgePipe,31.57894736842106,0.08234899682486216
AlexNet,5,40,60,20,40,HiveMind,48.09199190105206,0.04661726879005664
AlexNet,5,40,60,20,40,EdgePipe,92.98245614035089,0.052224592434365565
AlexNet,5,40,60,60,100,HiveMind,70.17543859649123,0.027586765647068138
AlexNet,5,40,60,60,100,EdgePipe,92.98245614035089,0.03314206708579413
